package,ondiskversion,source
ggmcmc,1.5.1.2,CRAN (R 4.5.0)
ggnewscale,0.5.2,CRAN (R 4.5.0)
ggplot2,4.0.0.9000,Github (tidyverse/ggplot2@7a746b2a7276b615257b1c6f5c5a4454fcfd64aa)
ggpubr,0.6.2,CRAN (R 4.5.0)
ggrepel,0.9.6,CRAN (R 4.5.0)
ggsci,4.1.0,CRAN (R 4.5.0)
ggsignif,0.6.4,CRAN (R 4.5.0)
ggstats,0.11.0,CRAN (R 4.5.0)
ggtext,0.1.2,CRAN (R 4.5.0)
ggview,0.2.2,CRAN (R 4.5.0)
gh,1.5.0,CRAN (R 4.5.0)
gitcreds,0.1.2,CRAN (R 4.5.0)
gitlabr,2.1.0,CRAN (R 4.5.0)
glasso,1.11,CRAN (R 4.5.0)
gld,2.6.8,CRAN (R 4.5.0)
glmmTMB,1.1.13,CRAN (R 4.5.1)
glmnet,4.1-10,CRAN (R 4.5.0)
GLMsData,1.4,CRAN (R 4.5.0)
glmx,0.2-1,CRAN (R 4.5.0)
globals,0.18.0,CRAN (R 4.5.0)
glue,1.8.0,CRAN (R 4.5.0)
goftest,1.2-3,CRAN (R 4.5.0)
golem,0.5.1,CRAN (R 4.5.0)
googledrive,2.1.2,CRAN (R 4.5.0)
googlesheets4,1.1.2,CRAN (R 4.5.0)
gower,1.0.2,CRAN (R 4.5.0)
GPArotation,2025.3-1,CRAN (R 4.5.0)
gplots,3.2.0,CRAN (R 4.5.0)
gridExtra,2.3,CRAN (R 4.5.0)
gridtext,0.1.5,CRAN (R 4.5.0)
gss,2.2-9,CRAN (R 4.5.0)
gt,1.1.0,CRAN (R 4.5.0)
gtable,0.3.6,CRAN (R 4.5.0)
gtools,3.9.5,CRAN (R 4.5.0)
gtsummary,2.4.0.9001,Github (d-morrison/gtsummary@d70311bb7e7cd078df78bdbfded9e0cf45f4752e)
hardhat,1.4.2,CRAN (R 4.5.0)
haven,2.5.5,CRAN (R 4.5.0)
here,1.0.2,CRAN (R 4.5.0)
highr,0.11,CRAN (R 4.5.0)
Hmisc,5.2-4,CRAN (R 4.5.0)
hms,1.1.4,CRAN (R 4.5.0)
htmlTable,2.4.3,CRAN (R 4.5.0)
htmltools,0.5.8.1,CRAN (R 4.5.0)
htmlwidgets,1.6.4,CRAN (R 4.5.0)
httpcode,0.3.0,CRAN (R 4.5.0)
httpuv,1.6.16,CRAN (R 4.5.0)
httr,1.4.7,CRAN (R 4.5.0)
httr2,1.2.1,CRAN (R 4.5.0)
hunspell,3.0.6,CRAN (R 4.5.0)
huxtable,5.7.0,CRAN (R 4.5.0)
ids,1.0.1,CRAN (R 4.5.0)
igraph,2.2.0,CRAN (R 4.5.0)
ini,0.3.1,CRAN (R 4.5.0)
insight,1.4.2,CRAN (R 4.5.0)
ipred,0.9-15,CRAN (R 4.5.0)
isoband,0.2.7,CRAN (R 4.5.0)
ISwR,2.0-10,CRAN (R 4.5.0)
iterators,1.0.14,CRAN (R 4.5.0)
janitor,2.2.1,CRAN (R 4.5.0)
jomo,2.7-6,CRAN (R 4.5.0)
jose,1.2.1,CRAN (R 4.5.0)
jpeg,0.1-11,CRAN (R 4.5.0)
