package,ondiskversion,source
htmlwidgets,1.6.4,CRAN (R 4.5.0)
httpcode,0.3.0,CRAN (R 4.5.0)
httpuv,1.6.16,CRAN (R 4.5.0)
httr,1.4.7,CRAN (R 4.5.0)
httr2,1.2.1,CRAN (R 4.5.1)
hunspell,3.0.6,CRAN (R 4.5.0)
huxtable,5.6.0,CRAN (R 4.5.1)
ids,1.0.1,CRAN (R 4.5.0)
igraph,2.1.4,CRAN (R 4.5.1)
infer,1.0.9,CRAN (R 4.5.1)
ini,0.3.1,CRAN (R 4.5.0)
insight,1.3.1,CRAN (R 4.5.1)
ipred,0.9-15,CRAN (R 4.5.1)
isoband,0.2.7,CRAN (R 4.5.0)
ISwR,2.0-10,CRAN (R 4.5.1)
iterators,1.0.14,CRAN (R 4.5.0)
jomo,2.7-6,CRAN (R 4.5.1)
jpeg,0.1-11,CRAN (R 4.5.0)
jquerylib,0.1.4,CRAN (R 4.5.0)
jsonlite,2.0.0,CRAN (R 4.5.0)
juicyjuice,0.1.0,CRAN (R 4.5.0)
kableExtra,1.4.0,CRAN (R 4.5.1)
kernlab,0.9-33,CRAN (R 4.5.0)
KernSmooth,2.23-26,CRAN (R 4.5.1)
km.ci,0.5-6,CRAN (R 4.5.0)
KMsurv,0.1-6,CRAN (R 4.5.0)
knitr,1.50,CRAN (R 4.5.0)
labeling,0.4.3,CRAN (R 4.5.0)
labelled,2.14.1,CRAN (R 4.5.0)
lambda.r,1.2.4,CRAN (R 4.5.1)
languageserver,0.3.16,CRAN (R 4.5.1)
later,1.4.2,CRAN (R 4.5.0)
latex2exp,0.9.6,CRAN (R 4.5.1)
lattice,0.22-7,CRAN (R 4.5.1)
lava,1.8.1,CRAN (R 4.5.1)
lavaan,0.6-19,CRAN (R 4.5.1)
lazyeval,0.2.2,CRAN (R 4.5.0)
lhs,1.2.0,CRAN (R 4.5.1)
lifecycle,1.0.4,CRAN (R 4.5.0)
lintr,3.2.0.9000,Github (r-lib/lintr@ae4046ee92a0cd7b56972f01f30d3dcce9365358)
listenv,0.9.1,CRAN (R 4.5.0)
listviewer,4.0.0,CRAN (R 4.5.0)
litedown,0.7,CRAN (R 4.5.0)
lme4,1.1-37,CRAN (R 4.5.0)
lmtest,0.9-40,CRAN (R 4.5.1)
lobstr,1.1.2,CRAN (R 4.5.0)
locatexec,0.1.1,CRAN (R 4.5.0)
logger,0.4.0,CRAN (R 4.5.1)
loon,1.4.3,CRAN (R 4.5.1)
lubridate,1.9.4,CRAN (R 4.5.0)
magick,2.8.7,CRAN (R 4.5.1)
magrittr,2.0.3,CRAN (R 4.5.0)
markdown,2.0,CRAN (R 4.5.0)
MASS,7.3-65,CRAN (R 4.5.1)
Matrix,1.7-3,CRAN (R 4.5.1)
MatrixModels,0.5-4,CRAN (R 4.5.0)
maxstat,0.7-26,CRAN (R 4.5.0)
memoise,2.0.1,CRAN (R 4.5.0)
mgcv,1.9-3,CRAN (R 4.5.1)
mice,3.18.0,CRAN (R 4.5.1)
microbenchmark,1.5.0,CRAN (R 4.5.0)
mime,0.13,CRAN (R 4.5.0)
miniUI,0.1.2,CRAN (R 4.5.0)
minqa,1.2.8,CRAN (R 4.5.0)
mitml,0.4-5,CRAN (R 4.5.1)
mitools,2.4,CRAN (R 4.5.1)
mixtools,2.0.0.1,CRAN (R 4.5.0)
mnormt,2.1.1,CRAN (R 4.5.0)
modeldata,1.5.0,CRAN (R 4.5.1)
modelenv,0.2.0,CRAN (R 4.5.1)
modelr,0.1.11,CRAN (R 4.5.0)
mvtnorm,1.3-3,CRAN (R 4.5.0)
nlme,3.1-168,CRAN (R 4.5.1)
nloptr,2.2.1,CRAN (R 4.5.0)
nnet,7.3-20,CRAN (R 4.5.1)
nortest,1.0-4,CRAN (R 4.5.0)
numDeriv,2016.8-1.1,CRAN (R 4.5.0)
officer,0.6.10,CRAN (R 4.5.0)
olsrr,0.6.1,CRAN (R 4.5.1)
openssl,2.3.3,CRAN (R 4.5.0)
openxlsx,4.2.8,CRAN (R 4.5.1)
openxlsx2,1.18,CRAN (R 4.5.1)
ordinal,2023.12-4.1,CRAN (R 4.5.1)
packrat,0.9.3,CRAN (R 4.5.0)
pacman,0.5.1,CRAN (R 4.5.0)
pak,0.9.0,CRAN (R 4.5.0)
palmerpenguins,0.1.1,CRAN (R 4.5.1)
pan,1.9,CRAN (R 4.5.1)
pander,0.6.6,CRAN (R 4.5.1)
parallelly,1.45.1,CRAN (R 4.5.1)
parameters,0.27.0,CRAN (R 4.5.1)
parsnip,1.3.2,CRAN (R 4.5.1)
patchwork,1.3.1,CRAN (R 4.5.1)
pbapply,1.7-4,CRAN (R 4.5.1)
pbivnorm,0.6.0,CRAN (R 4.5.0)
pbkrtest,0.5.5,CRAN (R 4.5.1)
pdftools,3.5.0,CRAN (R 4.5.1)
performance,0.15.0,CRAN (R 4.5.1)
pillar,1.11.0,CRAN (R 4.5.1)
pkgbuild,1.4.8,CRAN (R 4.5.0)
pkgconfig,2.0.3,CRAN (R 4.5.0)
pkgdown,2.1.3,CRAN (R 4.5.0)
pkgload,1.4.0,CRAN (R 4.5.0)
PKI,0.1-14,CRAN (R 4.5.0)
plotly,4.11.0,CRAN (R 4.5.0)
plyr,1.8.9,CRAN (R 4.5.0)
png,0.1-8,CRAN (R 4.5.0)
polynom,1.4-1,CRAN (R 4.5.0)
praise,1.0.0,CRAN (R 4.5.0)
prettyunits,1.2.0,CRAN (R 4.5.0)
printr,0.3,CRAN (R 4.5.1)
pROC,1.19.0.1,CRAN (R 4.5.1)
processx,3.8.6,CRAN (R 4.5.0)
prodlim,2025.04.28,CRAN (R 4.5.1)
profvis,0.4.0,CRAN (R 4.5.0)
progress,1.2.3,CRAN (R 4.5.0)
progressr,0.15.1,CRAN (R 4.5.1)
promises,1.3.3,CRAN (R 4.5.0)
PRROC,1.4,CRAN (R 4.5.1)
pryr,0.1.6,CRAN (R 4.5.1)
ps,1.9.1,CRAN (R 4.5.0)
pscl,1.5.9,CRAN (R 4.5.1)
psych,2.5.6,CRAN (R 4.5.1)
purrr,1.1.0,CRAN (R 4.5.1)
qgraph,1.9.8,CRAN (R 4.5.1)
qpdf,1.4.1,CRAN (R 4.5.1)
qrcode,0.3.0,CRAN (R 4.5.0)
